"CountryCode","SeriesCode","DESCRIPTION",
"ATG","IT.CEL.SETS.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.MLT.MAIN.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.BBND.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"ATG","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"ATG","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"AUS","IT.CEL.SETS.P2","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.MLT.MAIN.P2","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.NET.BBND.P2","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","IT.NET.USER.ZS","Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",
"AUS","SP.ADO.TFRT","Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.",
"AUS","SP.DYN.LE00.FE.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.DYN.LE00.MA.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.DYN.TFRT.IN","Data sources : Australian Bureau of Statistics",
"AUS","SP.POP.0014.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.1564.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.65UP.TO.ZS","Including Other Territories comprising Jervis Bay Territory, Christmas Island and the Cocos (Keeling) Islands. ",
"AUS","SP.POP.GROW","Data sources: Australian Bureau of Statistics",
"AUS","SP.POP.TOTL","Data sources : Australian Bureau of Statistics",
"AUT","IT.CEL.SETS.P2","Until 2001: Federal Ministry for Science and Transport. Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).",
"AUT","IT.MLT.MAIN.P2","Until 2001: Federal Ministry for Science and Transport. Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).",
"AUT","IT.NET.BBND.P2","Until 2001: Federal Ministry for Science and Transport. Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).",
"AUT","IT.NET.USER.ZS","Until 2001: Federal Ministry for Science and Transport. Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).",
"AUT","SP.DYN.LE00.FE.IN","Data sources : Eurostat, Statistik Austria",
"AUT","SP.DYN.LE00.MA.IN","Data sources : Eurostat, Statistik Austria",
"AUT","SP.DYN.TFRT.IN","Data sources : Eurostat",
"AUT","SP.POP.GROW","Data sources : Eurostat",
"AUT","SP.POP.TOTL","Data sources : Eurostat",
"AZE","IT.CEL.SETS.P2","Ministry of Communications and Information Technologies.",
"AZE","IT.MLT.MAIN.P2","Ministry of Communications and Information Technologies.",
"AZE","IT.NET.BBND.P2","Ministry of Communications and Information Technologies.",
"AZE","IT.NET.USER.ZS","Ministry of Communications and Information Technologies.",
"AZE","SP.ADO.TFRT","Including Nagorno-Karabakh.",
"AZE","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"AZE","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"AZE","SP.DYN.TFRT.IN","Data sources : State Statistical Committee, Eurostat, United Nations World Population Prospects",
"AZE","SP.POP.GROW","Data sources: Eurostat, State Statistical Committee, United Nations World Population Prospects",
"AZE","SP.POP.TOTL","Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects",
"BDI","IT.CEL.SETS.P2","Until 2001: Office National des Télécommunications (ONATEL). Agence de Régulation et de Contrôle des Télécommunications.",
"BDI","IT.MLT.MAIN.P2","Until 2001: Office National des Télécommunications (ONATEL). Agence de Régulation et de Contrôle des Télécommunications.",
"BDI","IT.NET.BBND.P2","Until 2001: Office National des Télécommunications (ONATEL). Agence de Régulation et de Contrôle des Télécommunications.",
"BDI","IT.NET.USER.ZS","Until 2001: Office National des Télécommunications (ONATEL). Agence de Régulation et de Contrôle des Télécommunications.",
"BDI","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BDI","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BDI","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BDI","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BDI","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BEL","IT.CEL.SETS.P2","Institut belge des services postaux et des télécommunications (IBPT).",
"BEL","IT.MLT.MAIN.P2","Institut belge des services postaux et des télécommunications (IBPT).",
"BEL","IT.NET.BBND.P2","Institut belge des services postaux et des télécommunications (IBPT).",
"BEL","IT.NET.USER.ZS","Institut belge des services postaux et des télécommunications (IBPT).",
"BEL","SP.DYN.LE00.FE.IN","Data sources : Eurostat",
"BEL","SP.DYN.LE00.MA.IN","Data sources : Eurostat",
"BEL","SP.DYN.TFRT.IN","Data sources : Eurostat",
"BEL","SP.POP.GROW","Data sources : Eurostat",
"BEL","SP.POP.TOTL","Data sources : Eurostat",
